question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-001-002-007;The Amateur Radio Operator Certificate should be:;retained at the address provided to Industry Canada;retained in a safety deposit box;retained on the radio amateur's person;retained in the radio amateur's vehicle;Le certificat d'opérateur radioamateur devrait :;être conservé à l'adresse indiquée à Industrie Canada;être conservé dans un coffret de sûreté;être conservé sur sa personne par le titulaire;être conservé dans le véhicule du radioamateur
B-001-003-001;Out of amateur band transmissions:;are prohibited - penalties could be assessed to the control operator;must be identified with your call sign;are permitted;are permitted for short tests only;Les émissions hors des bandes du service radioamateur :;sont interdites - l'opérateur responsable pourrait faire l'objet de sanctions;doivent être identifiées au moyen de l'indicatif d'appel;sont autorisées;sont autorisées uniquement pour de courtes périodes d'essai
B-001-003-002;If an amateur pretends there is an emergency and transmits the word "MAYDAY," what is this called?;False or deceptive signals;A traditional greeting in May;An emergency test transmission;Nothing special: "MAYDAY" has no meaning in an emergency;Si un amateur veut faire croire à une situation d'urgence et utilise le mot "MAYDAY", cela représente :;des signaux erronés ou mensongers;une façon habituelle de saluer durant le mois de mai;un essai de transmission durant un exercice d'urgence;rien de spécial : le mot "MAYDAY" n'a aucune signification dans une situation d'urgence
B-001-003-003;A person found guilty of transmitting a false or fraudulent distress signal, or interfering with, or obstructing any radio communication, without lawful cause, may be liable, on summary conviction, to a penalty of:;a fine, not exceeding $5 000, or a prison term of one year, or both;a fine of $10 000;a prison term of two years;a fine of $1 000;Une personne trouvée coupable d'avoir émis faussement ou frauduleusement un signal de détresse, ou de gêner ou d'entraver une radiocommunication, sans excuse légitime, est passible, après une déclaration sommaire de culpabilité :;d'une amende n'excédant pas 5 000 $, ou d'un emprisonnement d'un an, ou les deux à la fois;d'une amende de 10 000 $;d'un emprisonnement de 2 ans;d'une amende de 1 000 $
B-001-003-004;What government document states the offences and penalties for non compliance of the rules governing radiocommunications?;The Radiocommunication Act;The Official Radio Rules of Canada;The Radiocommunications Regulations;The Radiocommunications Law Reform Act of 2002;Quel document gouvernemental stipule les infractions et les peines pour manquements aux règles régissant la radiocommunication?;La Loi sur la radiocommunication;Les Règles officielles de la Radio au Canada;Le Règlement sur la radiocommunication;La Révision à la Loi sur la radiocommunication de 2002
B-001-003-005;Which of the following is not correct? The Minister may suspend an Amateur Radio Operator Certificate:;With no notice, or opportunity to make representation thereto;Where the holder has contravened the Radiocommunication Act, its Regulations, or the terms and conditions of the certificate;Where the certificate was obtained through misrepresentation;Where the holder has failed to comply with a request to pay fees or interest due;Lequel des énoncés suivants est faux? Le ministre peut suspendre le certificat d'opérateur d'un radioamateur :;sans avis ni donner droit à des représentations;quand le titulaire a transgressé la Loi sur la radiocommunication, le Règlement sur la radiocommunication ou les conditions rattachées au certificat;quand le certificat a été obtenu sous fausse représentation;quand le titulaire n'a pas payé les droits requis ou les intérêts dus
B-001-003-006;Which of the following statements is not correct?;A radio inspector may enter a dwelling without the consent of the occupant and without a warrant;Where entry is refused, and is necessary to perform his duties under the Act, a radio inspector may obtain a warrant;In executing a warrant, a radio inspector shall not use force, unless accompanied by a peace officer, and force is authorized;The person in charge of a place entered by a radio inspector shall give the inspector information that the inspector requests;Lequel des énoncés suivants est faux?;Un inspecteur de la radio peut entrer dans une habitation sans le consentement de l'occupant et sans mandat;L'inspecteur radio peut obtenir un mandat lorsque la visite des lieux est refusée et que l'inspection doit se faire selon la Loi;Dans l'exécution du mandat, l'inspecteur ne doit pas utiliser la force à moins d'être accompagné d'un policier;La personne responsable du lieu visité par un inspecteur de la radio doit donner l'information requise
B-001-004-001;What age must you be to hold an Amateur Radio Operator Certificate with Basic Qualification?;There are no age limits;70 years or younger;18 years or older;14 years or older;Quel âge devez-vous avoir pour détenir un certificat d'opérateur radioamateur avec compétence de base?;Il n'y a pas de limite d'âge;70 ans et moins;18 ans ou plus;14 ans et plus
B-001-004-002;Which examination must be passed before an Amateur Radio Operator Certificate is issued?;Basic;Personality test;Morse code;Advanced;Quel examen doit-être réussi pour obtenir un certificat d'opérateur radioamateur?;Compétence de base;Test de personnalité;Compétence en code Morse;Compétence supérieure
B-001-004-003;Holders of which one of the following certificates may be issued an Amateur Radio Operator Certificate?;Canadian Radiocommunication Operator General Certificate Maritime (RGMC);Canadian Restricted Operator Certificate - Maritime (ROC-M);Canadian Restricted Operator's Certificate - Maritime Commercial (ROC-MC);Canadian Restricted Operator Certificate - Aeronautical (ROC-A);Parmi les certificats suivants, quels titulaires peuvent recevoir l'autorisation d'exploiter une station du service de radioamateur?;Certificat général d'opérateur des radiocommunications - maritime (CGRM);Certificat restreint d'opérateur - maritime (CRO-M);Certificat restreint d'opérateur radio - commercial maritime (CRO-CM);Certificat restreint d'opérateur - aéronautique (CRO-A)
B-001-004-004;After an Amateur Radio Operator Certificate with Basic qualifications is issued, the holder may be examined for additional qualifications in the following order:;any order;Morse code after passing the Advanced;Morse code after passing the Basic with Honours;Advanced after passing Morse code;Après avoir obtenu un certificat d'opérateur radioamateur avec compétence de base, un requérant peut subir un examen pour des compétences supplémentaires dans l'ordre suivant :;dans n'importe quel ordre;compétence en code Morse après avoir obtenu la compétence supérieure;compétence en code Morse après avoir obtenu la compétence de base avec distinction;compétence supérieure après avoir obtenu la compétence en code Morse
B-001-004-005;One Morse code qualification is available for the Amateur Radio Operator Certificate. It is:;5 w.p.m.;12 w.p.m.;7 w.p.m.;15 w.p.m.;Le certificat d'opérateur radioamateur prévoit une compétence en code Morse. Laquelle?;5 mots/min;12 mots/min;7 mots/min;15 mots/min
B-001-004-006;The holder of an Amateur Radio Operator Certificate with the Basic Qualification is authorized to operate following stations:;a station authorized in the amateur service;a station authorized in the aeronautical service;a station authorized in the maritime service;any authorized station except stations authorized in the amateur, aeronautical or maritime services;La personne qui possède un certificat d'opérateur radioamateur avec compétence de base est autorisée à exploiter une des stations suivantes :;une station autorisée par le service radioamateur;une station autorisée par le service aéronautique;une station autorisée par le service maritime;toute station autorisée excepté celles du service radioamateur, aéronautique et maritime
B-001-004-007;What conditions must candidates to amateur radio certification meet?;Have a valid address in Canada;Be a Canadian citizen;Be a Canadian citizen or permanent resident;Be at least 14 years of age and a Canadian citizen or permanent resident;Quelles exigences s'appliquent au candidat pour un examen au Certificat d'opérateur radioamateur?;Avoir une adresse valide au Canada;Être citoyen canadien;Être un citoyen canadien ou résident permanent;Avoir au moins 14 ans, en plus d'être citoyen canadien ou résident permanent
B-001-005-001;Radio apparatus may be installed, placed in operation, repaired or maintained by the holder of an Amateur Radio Operator Certificate with Advanced Qualification on behalf of another person:;if the other person is the holder of an Amateur Radio Operator Certificate to operate in the amateur radio service;pending the granting of a radio authorization, if the apparatus covers the amateur and commercial frequency bands;pending the granting of an Amateur Radio Operator Certificate if the apparatus covers the amateur frequency bands only;if the transmitter of a station, for which a radio authorization is to be applied for, is type approved and crystal controlled;Le titulaire d'un certificat d'opérateur radioamateur avec compétence supérieure peut installer, faire fonctionner, réparer ou entretenir un appareil radio pour le compte d'une autre personne :;si l'autre personne est titulaire d'un certificat d'opérateur radioamateur;en attendant l'autorisation de radiocommunication si l'appareil fonctionne dans les bandes de fréquences des services radioamateur et commercial;en attendant le certificat d'opérateur radioamateur, si l'appareil fonctionne seulement dans les bandes de fréquences du service radioamateur;si l'émetteur de la station, qui doit faire l'objet d'une demande d'autorisation de radiocommunication, est homologué et piloté par cristal
B-001-005-002;The holder of an Amateur Radio Operator Certificate may design and build from scratch transmitting equipment for use in the amateur radio service provided that person has the:;Advanced qualification;Basic and Morse code qualification;Morse code with Honours qualification;Basic qualification;Le titulaire d'un certificat d'opérateur radioamateur peut concevoir et assembler de toutes pièces du matériel d'émission destiné au service de radioamateur, sous réserve de posséder un certificat avec :;compétence supérieure;compétence de base et une compétence en code Morse;compétence de base avec distinction;compétence de base
B-001-005-003;Where a friend is not the holder of any type of radio operator certificate, you, as a holder of an Amateur Radio Operator Certificate with Basic Qualification, may, on behalf of your friend:;not install, place in operation, modify, repair, maintain, or permit the operation of the radio apparatus;install an amateur station, but not operate or permit the operation of the apparatus;install and operate the radio apparatus, using your own call sign;modify and repair the radio apparatus but not install it;À titre de titulaire d'un certificat d'opérateur radioamateur avec compétence de base, vous pouvez, au nom d'un ami qui ne possède aucun certificat d'opérateur radio, faire ce qui suit :;vous ne pouvez pas installer, mettre en service, modifier, réparer ou permettre l'exploitation d'appareils radio;installer une station du service radioamateur sans l'exploiter ni permettre l'exploitation des appareils radio;installer et exploiter les appareils radio en vous servant de votre propre indicatif d'appel;modifier et réparer les appareils radio, mais non les installer
B-001-005-004;A radio amateur with Basic and Morse code qualifications may install an amateur station for another person:;only if the other person is the holder of a valid Amateur Radio Operator Certificate;only if the final power input does not exceed 100 watts;only if the station is for use on one of the VHF bands;only if the DC power input to the final stage does not exceed 200 watts;Un radioamateur qui possède la compétence en code Morse, en plus de la compétence de base, peut installer une station du service radioamateur pour une autre personne :;seulement si l'autre personne est titulaire d'un certificat d'opérateur radioamateur valide;seulement si la puissance d'entrée à l'amplificateur de puissance n'excède pas 100 watts;seulement si la station doit être utilisée sur une des bandes VHF;seulement si la puissance en courant continu à l'entrée de l'étage final n'excède pas 200 watts
B-001-006-001;An amateur radio station with a maximum input power to the final stage of 2 watts:;must be operated by a person with an Amateur Certificate and call sign;must be licensed by Industry Canada;need not be licensed in isolated areas only;is exempt from regulatory control by Industry Canada;Une station du service radioamateur dont la puissance maximale à l'entrée de l'étage final est de 2 watts :;doit être sous la supervision d'une personne détenant un certificat d'opérateur radioamateur et un indicatif d'appel;doit faire l'objet d'une licence par Industrie Canada;ne fait pas l'objet d'une licence dans les endroits isolés seulement;est dispensée de tout contrôle réglementaire de la part d'Industrie Canada
B-001-006-002;An amateur station may be used to communicate with:;stations operated under similar authorizations;any stations which are identified for special contests;armed forces stations during special contests and training exercises;any station transmitting in the amateur bands;On peut utiliser une station du service radioamateur pour communiquer avec :;toute station ayant fait l'objet d'une autorisation du même genre;toute station identifiée comme participant à des concours spéciaux;des stations des Forces armées dans le cadre de concours spéciaux et d'exercices d'entraînement;toute station qui émet dans les bandes du service radioamateur
B-001-006-003;Which of the following statements is not correct?;A radio amateur may use a linear amplifier to amplify the output of a licence-exempt transmitter outside any amateur radio allocations;A considerate operator does not transmit unnecessary signals;A courteous operator refrains from using offensive language;A radio amateur may not operate, or permit to be operated, a radio apparatus which he knows is not performing to the Radiocommunication Regulations;Lequel des énoncés suivants est faux?;Un radioamateur peut utiliser un amplificateur linéaire pour amplifier la sortie d'un émetteur, exempté de toute autorisation, hors des bandes du service radioamateur;Le radioamateur prévenant ne met pas en ondes des signaux superflus;Le radioamateur courtois n'utilise pas un langage grossier;Un radioamateur ne peut pas opérer ni permettre d'opérer un émetteur radio non conforme au Règlement sur la radiocommunication
B-001-006-004;Which of the following statements is not correct?;An amateur radio operator transmitting unnecessary or offensive signals does not violate accepted practice;Except for a certified radio amateur operating within authorized amateur radio allocations, no person shall possess or operate any device for the purpose of amplifying the output power of a licence-exempt radio apparatus;A person may operate or permit the operation of radio apparatus only where the apparatus is maintained to the Radiocommunication Regulations tolerances;A person may operate an amateur radio station when the person complies with the Standards for the Operation of Radio Stations in the Amateur Radio Service;Lequel des énoncés suivants est faux?;Un radioamateur émettant des signaux superflus ou grossiers ne contrevient pas aux normes convenables;Excepté un radioamateur autorisé opérant dans une bande attribuée au service radioamateur, personne ne peut posséder ou opérer un dispositif pour amplifier la puissance de sortie d'un appareil radio exempt de licence;Une personne peut opérer ou permettre l'opération d'un appareil radio seulement lorsque l'appareil respecte les tolérances du Règlement sur la radiocommunication;Une personne peut faire fonctionner une station du service radioamateur si elle respecte les Normes sur l'exploitation de stations radio du service de radioamateur
B-001-006-005;Which of the following statements is not correct? A person may operate radio apparatus, authorized in the amateur service:;on aeronautical, marine or land mobile frequencies;only where the person complies with the Standards for the Operation of Radio Stations in the Amateur Radio Service;only where the apparatus is maintained within the performance standards set by Industry Canada regulations and policies;except for the amplification of the output power of licence-exempt radio apparatus operating outside authorized amateur radio service allocations;Lequel des énoncés suivants est faux? Une personne peut faire fonctionner un appareil radio autorisé pour le service de radioamateur :;sur les fréquences des services mobiles aéronautique, maritime ou terrestre;seulement lorsque cette personne respecte les Normes sur l'exploitation de stations radio du service de radioamateur;seulement lorsque l'appareil est conforme aux normes des règlements et des politiques d'Industrie Canada;sauf pour l'amplification de la puissance de sortie d'un appareil radio exempt de licence et opéré hors des bandes du service radioamateur
B-001-006-006;Some VHF and UHF FM radios purchased for use in the amateur service can also be programmed to communicate on frequencies used for the land mobile service. Under what conditions is this permissible?;The radio is certified under the proper Radio Standard Specification for use in Canada and licensed by Industry Canada on the specified frequencies;The radio operator has a Restricted Operator's Certificate;The equipment has a RF power output of 2 watts or less;The equipment is used in remote areas north of 60 degrees latitude;Certains appareils VHF et UHF FM achetés pour usage sur service radioamateur peuvent aussi être programmés sur des fréquences du service mobile terrestre. Sous quelle condition cette pratique est-elle légale?;L'appareil est conforme au Cahier des charges sur les normes radioélectriques (CNR) applicables en plus de faire l'objet d'une licence d'Industrie Canada pour ces fréquences spécifiques;L'opérateur détient un Certificat restreint d'opérateur;La puissance de sortie RF de l'équipement est de 2 watts ou moins;L'équipement est utilisé dans des endroits isolés au nord du 60e parallèle
B-001-007-001;Which of the following cannot be discussed on an amateur club net?;Business planning;Recreation planning;Code practice planning;Emergency planning;Lequel des sujets suivants est interdit sur un réseau regroupant des radioamateurs?;La planification commerciale;Les projets récréatifs;La pratique du code Morse;Le réseau d'urgence
B-001-007-002;When is a radio amateur allowed to broadcast information to the general public?;Never;Only when the operator is being paid;Only when broadcasts last less than 1 hour;Only when broadcasts last longer than 15 minutes;Quand un radioamateur peut-il diffuser de l'information au public en général?;Jamais;À la condition que l'amateur soit rémunéré;Pourvu que la communication ne dure pas plus d'une heure;Pourvu que la communication dure plus d'un quart d'heure
B-001-007-003;When may false or deceptive amateur signals or communications be transmitted?;Never;When operating a beacon transmitter in a "fox hunt" exercise;When playing a harmless "practical joke";When you need to hide the meaning of a message for secrecy;Quand est-il permis d'émettre des messages erronés ou mensongers sur les fréquences réservées aux radioamateurs?;Jamais;Lorsque vous opérez une balise durant une chasse à l'émetteur;Quand vous voulez jouer des tours sans gravité;Quand vous devez cacher la signification d'un message pour le garder secret
B-001-007-004;Which of the following one-way communications may not be transmitted in the amateur service?;Broadcasts intended for the general public;Radio control commands to model craft;Brief transmissions to make adjustments to the station;Morse code practice;Laquelle de ces émissions à sens unique ne peut être transmise par la station d'un radioamateur?;La radiodiffusion à l'intention du public en général;La télécommande par radio de modèles réduits;De courtes émissions afin d'ajuster l'équipement de la station;La pratique du code Morse
B-001-007-005;You wish to develop and use a new digital encoding technique to transmit data over amateur radio spectrum. Under what conditions is this permissible?;When the encoding technique is published in the public domain;When it is used for music streaming content;When it is used for commercial traffic;When it includes sending the amateur station's call sign;Vous entendez développer une nouvelle technique d'encodage numérique pour utilisation sur les bandes du service radioamateur. Sous quelle condition ce projet demeure-t-il légal?;Lorsque les spécifications de la technique sont publiées dans le domaine public;Lorsqu'il est utilisé pour diffuser de la musique en continu;Lorsqu'il est utilisé pour des échanges commerciaux;Lorsqu'il inclut l'indicatif d'appel de la station d'origine
B-001-007-006;When may an amateur station in two-way communication transmit an encoded  message?;Only when the encoding or cipher is not secret;During a declared communications emergency;During contests;When transmitting above 450 MHz;Quand un radioamateur peut-il transmettre un message codé dans une communication entre deux stations?;Seulement si l'encodage n'est pas secret;Lors de communications en situation d'urgence;Pendant les concours;Lorsqu'il transmet sur des fréquences supérieures à 450 MHz
B-001-007-007;What are the restrictions on the use of abbreviations or procedural signals in the amateur service?;They may be used if the signals or codes are not secret;There are no restrictions;They are not permitted because they obscure the meaning of a message to government monitoring stations;Only "10 codes" are permitted;Quelles sont les restrictions au sujet de l'utilisation des abréviations et des codes du service radioamateur?;Ils peuvent être utilisés pour autant qu'ils ne soient pas secrets;Il n'y a pas de restrictions;Ils sont interdits parce qu'ils empêchent les stations de surveillance du gouvernement de comprendre le sens des messages;Seulement les "codes 10" sont permis
B-001-007-008;What should you do to keep you station from retransmitting music or signals from a non-amateur station?;Turn down the volume of background audio;Turn up the volume of your transmitter;Speak closer to the microphone to increase your signal strength;Adjust your transceiver noise blanker;Que devriez-vous faire pour éviter de retransmettre de la musique ou d'autres signaux provenant de stations ne faisant pas partie du service radioamateur?;Baisser le volume de ces autres appareils;Augmenter le volume de votre émetteur;Parler plus près du microphone pour augmenter la force de votre signal;Ajuster le suppresseur de bruit sur votre émetteur-récepteur
B-001-007-009;The transmission of a secret code by the operator of an amateur station:;is not permitted;is permitted for contests;must be approved by Industry Canada;is permitted for third-party traffic;L'emploi d'un code secret par l'opérateur d'une station du service radioamateur :;est interdit;est autorisé dans le cadre de concours;doit être approuvé par Industrie Canada;est autorisé dans le cas de messages transmis au nom d'un tiers
B-001-007-010;A radio amateur may be engaged in communication which include the transmission of:;Q signals;programming that originates from a broadcasting undertaking;radiocommunication in support of industrial, business, or professional activities;commercially recorded material;Un radioamateur peut transmettre des communications qui incluent la transmission :;de codes Q;de programmes provenant d'un radiodiffuseur;de radiocommunications supportant des activités industrielles, commerciales ou professionnelles;de matériel enregistré commercialement
B-001-007-011;In the amateur radio service, business communications:;are not permitted under any circumstance;are permitted on some bands;are only permitted if they are for the safety of life or immediate protection of property;are not prohibited by regulation;Dans le service de radioamateur, les communications de nature commerciale :;sont interdites en tout temps;sont autorisées dans certaines bandes;sont autorisées uniquement pour la sauvegarde de la vie humaine ou la protection immédiate de la propriété;ne sont pas interdites par règlement
B-001-008-001;Where may the holder of an Amateur Radio Operator Certificate operate an amateur radio station in Canada?;Anywhere in Canada;Anywhere in Canada during times of emergency;Only at the address shown on Industry Canada records;Anywhere in your call sign prefix area;À quel endroit le titulaire d'un certificat d'opérateur radioamateur peut-il exploiter une station de ce service au Canada?;Partout au Canada;Partout au Canada en situation d'urgence;Uniquement à l'adresse indiquée dans les dossiers d'Industrie Canada;Partout dans la région désignée par le préfixe d'indicatif
B-001-008-002;Which type of station may transmit one-way communications?;Beacon station;Repeater station;HF station;VHF station;Quel genre de station émet des communications à sens unique?;Une station balise;Un répéteur;Une station HF;Une station VHF
B-001-008-003;Amateur radio operators may install or operate radio apparatus:;at any location in Canada;only at the address which is on record at Industry Canada;at the address which is on record at Industry Canada and at one other location;at the address which is on record at Industry Canada and in two mobiles;Les opérateurs radioamateurs peuvent installer et faire fonctionner un appareil radio :;partout au Canada;uniquement à l'adresse indiquée dans les dossiers d'Industrie Canada;à l'adresse indiquée dans les dossiers d'Industrie Canada et à un autre emplacement;à l'adresse indiquée dans les dossiers d'Industrie Canada et dans deux stations mobiles
B-001-008-004;In order to install any radio apparatus, to be used specifically for receiving and automatically retransmitting radiotelephone communications within the same frequency band, a radio amateur must hold an Amateur Radio Operator Certificate, with a minimum of:;Basic and Advanced qualifications;Basic and Morse code qualifications;Basic qualification;Basic with Honours qualification;Pour installer un appareil radio qui doit servir spécifiquement à recevoir et à retransmettre automatiquement les communications radiotéléphoniques dans la même bande de fréquences, le radioamateur doit être titulaire d'un certificat d'opérateur radioamateur avec au moins :;la compétence de base et la compétence supérieure;la compétence de base et la compétence en code Morse;la compétence de base;la compétence de base avec distinction
B-001-008-005;In order to install any radio apparatus, to be used specifically for an amateur radio club station, the radio amateur must hold an Amateur Radio Operator Certificate, with a minimum of the following qualifications:;Basic and Advanced;Basic, Advanced and Morse code;Basic;Basic with Honours;Pour installer un appareil qui doit servir spécifiquement comme station radio d'un club radioamateur, le titulaire doit détenir un certificat d'opérateur radioamateur avec au moins :;la compétence de base et la compétence supérieure;la compétence de base, la compétence supérieure et la compétence en code Morse;la compétence de base;la compétence de base avec distinction
B-001-008-006;In order to install or operate a transmitter or RF amplifier that is neither professionally designed nor commercially manufactured for use in the amateur service, a radio amateur must hold an Amateur Operator's Certificate, with a minimum of which qualifications?;Basic and Advanced;Basic with Honours;Basic and Morse code;Basic, Advanced and Morse code;Pour installer ou opérer un émetteur ou un amplificateur RF qui ne sont ni de conception professionnelle ni de fabrication commerciale pour le service radioamateur, le radioamateur doit détenir un certificat :;avec la compétence de base et la compétence supérieure;avec la compétence de base avec distinction;avec la compétence de base et la compétence en code Morse;avec la compétence de base, la compétence supérieure et la compétence en code Morse
B-001-009-001;Who is responsible for the proper operation of an amateur station?;Both the control operator and the station owner;Only the station owner who is the holder of an Amateur Radio Operator Certificate;The person who owns the station equipment;Only the control operator;Qui est responsable du bon fonctionnement d'une station du service radioamateur?;L'opérateur responsable et le propriétaire de la station;Uniquement le propriétaire de la station qui est titulaire d'un certificat d'opérateur radioamateur;Le propriétaire de l'équipement de la station;L'opérateur responsable seulement
B-001-009-002;If you transmit from another amateur's station, who is responsible for its proper operation?;Both of you;You;The station owner, unless the station records show that you were the control operator at the time;The station owner;Si vous émettez à partir de la station d'un autre radioamateur, qui est responsable du bon fonctionnement de la station?;Vous-même et le propriétaire de la station;Vous-même;Le propriétaire de la station, à moins que le journal de la station indique que vous étiez alors l'opérateur responsable;Le propriétaire de la station
B-001-009-003;What is your responsibility as a station owner?;You are responsible for the proper operation of the station in accordance with the regulations;You must allow another amateur to operate your station upon request;You must be present whenever the station is operated;You must notify Industry Canada if another amateur acts as the control operator;Quelle est votre responsabilité en tant que propriétaire d'une station?;Vous êtes responsable du bon fonctionnement de la station conformément aux règlements;Vous devez permettre à un autre amateur d'opérer la station sur demande;Vous devez être présent lorsque la station est utilisée;Vous devez aviser Industrie Canada lorsqu'un autre amateur est l'opérateur responsable
B-001-009-004;Who may be the control operator of an amateur station?;Any qualified amateur chosen by the station owner;Any person over 21 years of age with a Basic Qualification;Any person over 21 years of age with Basic and Morse code qualifications;Any person over 21 years of age;Qui peut être l'opérateur responsable d'une station du service radioamateur?;Tout amateur compétent choisi par le propriétaire de la station;Toute personne âgée d'au moins 21 ans et possédant un certificat avec compétence de base;Toute personne âgée d'au moins 21 ans et possédant un certificat avec compétence de base et compétence en code Morse;Toute personne âgée d'au moins 21 ans
B-001-009-005;When must an amateur station have a control operator?;Whenever the station is transmitting;A control operator is not needed;Whenever the station receiver is operated;Only when training another amateur;Quand faut-il qu'une station du service radioamateur soit prise en charge par un opérateur responsable?;Toutes les fois que la station est utilisée pour des émissions;Il n'est pas nécessaire que la station soit prise en charge par un opérateur responsable;Toutes les fois que la station est utilisée pour la réception;Seulement lorsqu'il s'agit d'entraîner un nouvel amateur
B-001-009-006;When an amateur station is transmitting, where must its control operator be?;At the station's control point;Anywhere in the same building as the transmitter;At the station's entrance, to control entry to the room;Anywhere within 50 km of the station location;Lorsqu'une station du service radioamateur est en ondes, où doit se trouver l'opérateur responsable?;Où il pourra exercer un contrôle sur la station;Dans l'édifice où est située la station;Près de l'entrée du local de la station, afin de superviser les entrées;Dans un rayon de 50 km de la station
B-001-009-007;Why can't family members without qualifications transmit using your amateur station if they are alone with your equipment?;They must hold suitable amateur radio qualifications before they are allowed to be control operators;They must not use your equipment without your permission;They must first know how to use the right abbreviations and Q signals;They must first know the right frequencies and emission modes for transmitting;Pourquoi est-il interdit aux membres de famille sans certificat de compétence d'utiliser votre station pour faire des émissions en votre absence?;Ils doivent posséder les certificats de compétence appropriés avant d'être opérateurs responsables d'une station;Ils ne peuvent pas utiliser votre matériel sans votre autorisation;Ils doivent d'abord savoir comment utiliser les bonnes abréviations et le code "Q";Ils doivent d'abord connaître les fréquences permises ainsi que les types d'émission autorisés
B-001-009-008;The owner of an amateur station may:;permit any person to operate the station under the supervision and in the presence of the holder of the amateur operator certificate;permit anyone to take part in communications only if prior written permission is received from Industry Canada;permit anyone to use the station without restrictions;permit anyone to use the station and take part in communications;Le propriétaire d'une station du service radioamateur peut :;permettre à quiconque d'utiliser la station sous la supervision et en présence d'un titulaire de certificat d'opérateur radioamateur;permettre à quiconque de prendre part aux communications s'il a d'abord obtenu la permission écrite d'Industrie Canada;permettre à quiconque d'utiliser la station sans restrictions;permettre à quiconque d'utiliser la station et de prendre part aux communications
